state_code,state_name,capital,became_a_state
1,AL,Alabama,Montgomery,December 14 1819
2,AK,Alaska,Juneau,January 3 1959
3,AZ,Arizona,Phoenix,February 14 1912
4,AR,Arkansas,LittleRock,June 15 1836
5,CA,California,Sacramento,September 9 1850
6,CO,Colorado,Denver,August 1 1876
7,CT,Connecticut,Hartford,January 9 1788
8,DE,Delaware,Dover,December 7 1787
9,FL,Florida,Tallahassee,March 3 1845
10,GA,Georgia,Atlanta,January 2 1788
11,HI,Hawaii,Honolulu,August 21 1959
12,ID,Idaho,Boise,July 3 1890
13,IL,Illinois,Springfield,December 3 1818
14,IN,Indiana,Indianapolis,December 11 1816
15,IA,Iowa,DesMoines,December 28 1846
16,KS,Kansas,Topeka,January 29 1861
17,KY,Kentucky,Frankfort,June 1 1792
18,LA,Louisiana,BatonRouge,April 30 1812
19,ME,Maine,Augusta,March 15 1820
20,MD,Maryland,Annapolis,April 28 1788
21,MA,Massachusetts,Boston,February 6 1788
22,MI,Michigan,Lansing,January 26 1837
23,MN,Minnesota,SaintPaul,May 11 1858
24,MS,Mississippi,Jackson,December 10 1817
25,MO,Missouri,JeffersonCity,August 10 1821
26,MT,Montana,Helena,November 8 1889
27,NE,Nebraska,Lincoln,March 1 1867
28,NV,Nevada,CarsonCity,October 31 1864
29,NH,NewHampshire,Concord,June 21 1788
30,NJ,NewJersey,Trenton,December 18 1787
31,NM,NewMexico,SantaFe,January 6 1912
32,NY,NewYork,Albany,July 26 1788
33,NC,NorthCarolina,Raleigh,November 21 1789
34,ND,NorthDakota,Bismarck,November 2 1889
35,OH,Ohio,Columbus,March 1 1803
36,OK,Oklahoma,OklahomaCity,November 16 1907
37,OR,Oregon,Salem,February 14 1859
38,PA,Pennsylvania,Harrisburg,December 12 1787
39,RI,RhodeIsland,Providence,May 19 1790
40,SC,SouthCarolina,Columbia,May 23 1788
41,SD,SouthDakota,Pierre,November 2 1889
42,TN,Tennessee,Nashville,June 1 1796
43,TX,Texas,Austin,December 29 1845
44,UT,Utah,SaltLakeCity,January 4 1896
45,VT,Vermont,Montpelier,March 4 1791
46,VA,Virginia,Richmond,June 25 1788
47,WA,Washington,Olympia,November 11 1889
48,WV,WestVirginia,Charleston,June 20 1863
49,WI,Wisconsin,Madison,May 29 1848
50,WY,Wyoming,Cheyenne,July 10 1890
